id,slug,name,address,state,area,latitude,longitude,phone,website_url,google_maps_url,accepted_items,tags,opening_hours,status,verification_status,upvote_count,downvote_count,photo_count,comment_count,notes,created_at,updated_at,last_verified_at,thumbnail_url
1,dump-site,Dump Site,"Jalan Bukit Tagar, Selangor",Selangor,,3.5018163,101.4750417,,,"https://maps.google.com/?q=3.5018163,101.4750417",,Class:Drop-Off,,,reverse_geocoded_address,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
2,recycling-point-node-1541813511,Recycling Point node-1541813511,"Jalan 5/58, Petaling Garden, Section 5, Petaling Jaya, Selangor, 46000",Selangor,Petaling Jaya,3.08721,101.6625519,,,"https://maps.google.com/?q=3.08721,101.6625519",,Class:Drop-Off,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
3,recycling-point-node-1546903143,Recycling Point node-1546903143,"Jalan Jalil Jaya, Bukit Jalil, Kuala Lumpur, 57000",Kuala Lumpur,Bukit Jalil,3.0601184,101.6735624,,,"https://maps.google.com/?q=3.0601184,101.6735624",,Class:Drop-Off,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
4,recycling-point-node-2024347990,Recycling Point node-2024347990,"Damansara–Puchong Expressway, Kelana Jaya, SS 7, Petaling Jaya, Selangor, 43701",Selangor,Kelana Jaya,3.098473,101.5977143,,,"https://maps.google.com/?q=3.098473,101.5977143",,Class:Drop-Off,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
5,panasonic,Panasonic,"Jalan Sesiku 15/2, Section 15, Shah Alam, Selangor, 40200",Selangor,Shah Alam,3.0634244,101.5150559,,,"https://maps.google.com/?q=3.0634244,101.5150559",,Class:E-Waste|Electronics,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=e-waste,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
6,recycling-point-node-2510091183,Recycling Point node-2510091183,"Mukut Passenger Jetty, Tioman Island, Mukut Village",Pahang,,2.7200175,104.1795968,,,"https://maps.google.com/?q=2.7200175,104.1795968",,Class:Drop-Off,,,reverse_geocoded_address,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
7,recycling-point-node-2510091197,Recycling Point node-2510091197,"Mukut Passenger Jetty, Tioman Island, Mukut Village",Pahang,,2.7197885,104.1785864,,,"https://maps.google.com/?q=2.7197885,104.1785864",,Class:Drop-Off,,,reverse_geocoded_address,,,,,classification=drop-off,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
8,recycling-container-node-3528418620,Recycling Container node-3528418620,"Jalan Bukit Jaya 1, Bukit Antarabangsa, Ampang Jaya Municipal Council, Selangor, 54200",Selangor,Bukit Antarabangsa,3.1815091,101.7695684,,,"https://maps.google.com/?q=3.1815091,101.7695684",,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
9,bdc-recycle-centre,BDC Recycle Centre,"BDC Lorong C, Kuching, Sarawak, 93000",Sarawak,Kuching,1.5065603,110.3603307,,,"https://maps.google.com/?q=1.5065603,110.3603307",,Centre|Class:Centre,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=centre,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
10,recycling-container-node-3883735291,Recycling Container node-3883735291,"Jalan Alor Setar - Padang Besar, Taman Mergong Jaya, Kampung Batin, Alor Setar, Kedah, 06250",Kedah,Alor Setar,6.1437003,100.330347,,,"https://maps.google.com/?q=6.1437003,100.330347",Cans|Paper|Plastic|Plastic Bottles|Plastic Packaging,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
11,recycling-container-node-3994062095,Recycling Container node-3994062095,"Jalan Delima 1, Taman Delima, Guar Chempedak, Kedah, 08800",Kedah,Guar Chempedak,5.8536129,100.4453668,,,"https://maps.google.com/?q=5.8536129,100.4453668",Cans|Paper|Plastic|Plastic Bottles|Plastic Packaging|Glass|Glass Bottles,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
12,recycling-container-node-4007941512,Recycling Container node-4007941512,"Jalan Mas Merah 7, Anak Bukit, Taman Desa Mutiara, Kampung Alor Madi, Kedah, 06020",Kedah,Anak Bukit,6.1920971,100.3948531,,,"https://maps.google.com/?q=6.1920971,100.3948531",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles|Cardboard,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
13,recycling-container-node-4205388072,Recycling Container node-4205388072,"Jalan Butterworth-Alor Setar, Taman Guar Indah, Kampung Sungai Belida, Guar Chempedak, Kedah, 08800",Kedah,Guar Chempedak,5.8599246,100.4554738,,,"https://maps.google.com/?q=5.8599246,100.4554738",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles|Cardboard,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
14,recycling-container-node-4277774669,Recycling Container node-4277774669,"Federal Route 1, Taman Desa Murni, Kampung Tanjung Pauh, Jitra, Kedah, 06000",Kedah,Jitra,6.2496499,100.4195305,,,"https://maps.google.com/?q=6.2496499,100.4195305",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles|Cardboard|Scrap Metal,Container|Class:Private Scrapyard,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=private scrapyard,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
15,recycling-container-node-4366543482,Recycling Container node-4366543482,"Lengkok Selendang, Taman Mergong Jaya, Kampung Batin, Alor Setar, Kedah, 05150",Kedah,Alor Setar,6.131275,100.3394896,,,"https://maps.google.com/?q=6.131275,100.3394896",Cans|Paper|Plastic|Plastic Bottles|Glass|Glass Bottles|Cardboard,Container|Class:Bin/Container,,,reverse_geocoded_address|reverse_geocoded_area,,,,,classification=bin/container,,2026-06-26T00:39:20Z,2026-06-26T00:39:20Z,
